step_name,text,img,text_key_1_1,type_key_1_1,type_key_1_2,text_key_2,type_key_2,text_key_3,type_key_3,text_key_4,type_key_4
hello,"🇬🇧 Hello from Great Britain 🚙 А если серьезно, то вы попали на марафон по изучению английского языка 🧙‍♀️ Да, это не обычный марафон, а стильная программа для тех, кто хочет изучать английский с интересом, как будто играешь в любимую игру или смотришь любимый фильм 🍿",Images/hello.jpg,🔥Круто,1,1,🤓Посмотрим,1,,,,
small_steps,"Мы начинаем первый день марафона. А я ваш персональный искусственный интеллект, буду помогать вам изучать английский. Можете называть меня «королева» мне будет приятно ☺️ Думаю и вам тоже, если сама королева вам будет помогать 😄",Images/small_steps.jpg,👸🏼 Здравствуйте королева,,,🤓 Добрый день,,,,,
why,"Начинаем второй день марафона!

NAME, how are you?

Как 90% людей занимаются английским?
1. Созрела идея / Появилось вдохновение
2. Принял решение начать заниматься
3. Начал
4. Чем дальше тем, скучнее, мотивация падает
5. Включаем силу воли, продолжаем
6. Бросаем

Умение не терять мотивации и энтузиазма — это один из ключевых навыков, который мы поможем тебе освоить за время марафона.

Посмотри видео (15 минут) https://youtu.be/h5r4CvJa7cE?t=37",Images/why.jpg,👍🏼Посмотрел,,,,,,,,
third_day,"Начинаем третий день марафона, не смотря на то что дождь или ещё какие-то причины его отменить. Но мы продолжаем!",Images/third_day.jpg,👍🏼 Полный вперёд,,,🤓 В дождь нельзя,,,,,
fourth_day,"Начинаем четвёртый день марафона! Я очень рада, что ты по прежнему со мной. Are you ready?",Images/fourth_day.jpg,👍🏼 I am,,,😴 I’m sleepy,,,,,
fifth_day,"Fifth day of the marathon! I congratulate you, this is already a great achievement. Agree?",Images/fifth_day.jpg,👍🏼 Yes,,,🤷🏼‍♂️ Твоя моя не понимать,,,,,
sixth_day,Sixth day of the marathon! A great day to learn English.,Images/sixth_day.jpg,👍🏼 True,,,🤓 Not for me,,,,,
seventh_day,"The seventh day! Congratulations, my dear. This is a great achievement.",Images/seventh_day.jpg,👍🏼 Thank you my Queen,,,🤷🏼‍♂️ I don’t understand,,,,,
eighth_day,"The eighth day of the marathon. I'm still on a horse, and you're still in English. Unbelievable!
",Images/eighth_day.jpg,👍🏼 I’m on,,,🤓 Nothing special,,,,,
ninth_day,Ninth day of the marathon! I'm proud of you my dear,Images/ninth_day.jpg,👍🏼 Me too,,,🤓 Always,,,,,
tenth_day,"Tenth day of the marathon! Congratulations, my dear. That's enough days to praise yourself!",Images/tenth_day.jpg,"😎 I’m good, like you my Queen",,,🤓 Easy,,,,,
eleventh_day,,,,,,,,,,,
twelfth_day,,,,,,,,,,,
thirteenth_day,Thirteen day of the marathon. Special day for you! Today will be the week you study English with the Queen,Images/thirteenth_day.jpg,👍🏼 I like to study English with you,,,🤓 By my own,,,,,
fourteenth_day,The fourteenth day of the marathon. How do you like my dogs?,Images/fourteenth_day.jpg,☺️ They are cute,,,🤓 Just dogs,,,,,
fifteenth_day,,,,,,,,,,,
sixteenth_day,,,,,,,,,,,
